NseSymbol,Symbol,InstrumentToken,ExchangeToken,Name,InstrumentType,Segment,Exchange
HBLPOWER,HBLPOWER,3575297,13966,HBL POWER SYSTEMS.,EQ,NSE,NSE
HBSL,HBSL,1053697,4116,HB STOCKHOLDINGS,EQ,NSE,NSE
HCC,HCC,352001,1375,HINDUSTAN CONSTRUCTION CO,EQ,NSE,NSE
HCG,HCG,3982081,15555,HEALTHCARE GLOB. ENT.,EQ,NSE,NSE
HCL-INSYS,HCL-INSYS,339713,1327,HCL INFOSYSTEMS,EQ,NSE,NSE
HCLTECH,HCLTECH,1850625,7229,HCL TECHNOLOGIES,EQ,NSE,NSE
HDFC,HDFC,340481,1330,HDFC,EQ,NSE,NSE
HDFCAMC,HDFCAMC,1086465,4244,HDFC AMC,EQ,NSE,NSE
HDFCBANK,HDFCBANK,341249,1333,HDFC BANK,EQ,NSE,NSE
HDFCLIFE,HDFCLIFE,119553,467,HDFC LIFE INS CO,EQ,NSE,NSE
HDIL,HDIL-BZ,4587521,17920,,EQ,NSE,NSE
HEG,HEG,342017,1336,HEG,EQ,NSE,NSE
HEIDELBERG,HEIDELBERG,592897,2316,HEIDELBERGCEMENT (I),EQ,NSE,NSE
HEMIPROP,HEMIPROP,179457,701,HEMISPHERE PROP IND,EQ,NSE,NSE
HERANBA,HERANBA,669185,2614,HERANBA INDUSTRIES,EQ,NSE,NSE
HERCULES,HERCULES,3913729,15288,HERCULES HOI..,EQ,NSE,NSE
HERITGFOOD,HERITGFOOD,1177089,4598,HERITAGE FOODS,EQ,NSE,NSE
HEROMOTOCO,HEROMOTOCO,345089,1348,HERO MOTOCORP,EQ,NSE,NSE
HESTERBIO,HESTERBIO,1804289,7048,HESTER BIOSCIENCES,EQ,NSE,NSE
HEXATRADEX,HEXATRADEX-BE,6915073,27012,HEXA TRADEX,EQ,NSE,NSE
HFCL,HFCL,5619457,21951,HFCL,EQ,NSE,NSE
HGINFRA,HGINFRA,428033,1672,H.G.INFRA ENGINEERING,EQ,NSE,NSE
HGS,HGS-BE,3767041,14715,HINDUJA GLOBAL SOLS..,EQ,NSE,NSE
HIKAL,HIKAL,2475009,9668,HIKAL,EQ,NSE,NSE
HIL,HIL,372481,1455,HIL,EQ,NSE,NSE
HILTON,HILTON,3744513,14627,HILTON METAL FORGING,EQ,NSE,NSE
HIMATSEIDE,HIMATSEIDE,348161,1360,HIMATSINGKA SEIDE,EQ,NSE,NSE
HINDALCO,HINDALCO,348929,1363,HINDALCO  INDUSTRIES ,EQ,NSE,NSE
HINDCOMPOS,HINDCOMPOS,351233,1372,HINDUSTAN COMPOSITES.,EQ,NSE,NSE
HINDCON,HINDCON,1259521,4920,HINDCON CHEMICALS,EQ,NSE,NSE
HINDCOPPER,HINDCOPPER,4592385,17939,HINDUSTAN COPPER,EQ,NSE,NSE
HINDMOTORS,HINDMOTORS-BE,5549825,21679,HINDUSTAN MOTORS,EQ,NSE,NSE
HINDNATGLS,HINDNATGLS,4363777,17046,HIND NATL GLASS & IND,EQ,NSE,NSE
HINDOILEXP,HINDOILEXP,359169,1403,HINDUSTAN OIL EXPLORATION,EQ,NSE,NSE
HINDPETRO,HINDPETRO,359937,1406,HINDUSTAN PETROLEUM CORP,EQ,NSE,NSE
HINDUNILVR,HINDUNILVR,356865,1394,HINDUSTAN UNILEVER.,EQ,NSE,NSE
HINDZINC,HINDZINC,364545,1424,HINDUSTAN ZINC,EQ,NSE,NSE
HIRECT,HIRECT,3555841,13890,HIND RECTIFIER,EQ,NSE,NSE
HISARMETAL,HISARMETAL,4946433,19322,HISAR METAL IND.,EQ,NSE,NSE
HITECH,HITECH,734209,2868,HI-TECH PIPES,EQ,NSE,NSE
HITECHCORP,HITECHCORP,3881217,15161,HITECH CORPORATION,EQ,NSE,NSE
HITECHGEAR,HITECHGEAR,1134849,4433,THE HI-TECH GEARS,EQ,NSE,NSE
HLEGLAS,HLEGLAS,585985,2289,HLE GLASCOAT,EQ,NSE,NSE
HLVLTD,HLVLTD-BE,1310977,5121,HLV,EQ,NSE,NSE
HMT,HMT-BZ,5042689,19698,,EQ,NSE,NSE
HMVL,HMVL,4918017,19211,HINDUSTAN MEDIA VENT,EQ,NSE,NSE
HNDFDS,HNDFDS,3116289,12173,HINDUSTAN FOODS,EQ,NSE,NSE
HOMEFIRST,HOMEFIRST,526337,2056,HOME FIRST FIN CO IND,EQ,NSE,NSE
HONAUT,HONAUT,874753,3417,HONEYWELL AUTOMATION IND,EQ,NSE,NSE
HONDAPOWER,HONDAPOWER,803329,3138,HONDA I POWER PRODUCT,EQ,NSE,NSE
HOTELRUGBY,HOTELRUGBY,1029121,4020,HOTEL RUGBY,EQ,NSE,NSE
HOVS,HOVS,3479553,13592,HOV SERVICES,EQ,NSE,NSE
HPL,HPL,4781825,18679,HPL ELECTRIC & POWER,EQ,NSE,NSE
HSCL,HSCL,3669505,14334,HIMADRI SPECIALITY CHEM L,EQ,NSE,NSE
HSIL,HSIL,361473,1412,HSIL,EQ,NSE,NSE
HTMEDIA,HTMEDIA,3066625,11979,HT MEDIA,EQ,NSE,NSE
HUBTOWN,HUBTOWN,3635969,14203,HUBTOWN,EQ,NSE,NSE
HUDCO,HUDCO,5331201,20825,HSG & URBAN DEV CORPN,EQ,NSE,NSE
HUHTAMAKI,HUHTAMAKI,655873,2562,HUHTAMAKI INDIA,EQ,NSE,NSE
IBREALEST,IBREALEST,3699201,14450,INDIABULLS REAL EST.,EQ,NSE,NSE
IBULHSGFIN,IBULHSGFIN,7712001,30125,INDIABULLS HSG FIN,EQ,NSE,NSE
ICDSLTD,ICDSLTD-BE,2460161,9610,ICDSLTD,EQ,NSE,NSE
ICEMAKE,ICEMAKE,125185,489,ICE MAKE REFRIGERAT,EQ,NSE,NSE
ICICIBANK,ICICIBANK,1270529,4963,ICICI BANK.,EQ,NSE,NSE
ICICIGI,ICICIGI,5573121,21770,ICICI LOMBARD GIC,EQ,NSE,NSE
ICICIPRULI,ICICIPRULI,4774913,18652,ICICI PRU LIFE INS CO,EQ,NSE,NSE
ICIL,ICIL,3068673,11987,INDO COUNT INDUSTRIES,EQ,NSE,NSE
ICRA,ICRA,3717889,14523,ICRA,EQ,NSE,NSE
IDBI,IDBI,377857,1476,IDBI BANK,EQ,NSE,NSE
IDEA,IDEA,3677697,14366,VODAFONE IDEA,EQ,NSE,NSE
IDFC,IDFC,3060993,11957,IDFC,EQ,NSE,NSE
IDFCFIRSTB,IDFCFIRSTB,2863105,11184,IDFC FIRST BANK,EQ,NSE,NSE
IEX,IEX,56321,220,INDIAN ENERGY EXC,EQ,NSE,NSE
IFBAGRO,IFBAGRO,379393,1482,IFB AGRO INDUSTRIES,EQ,NSE,NSE
IFBIND,IFBIND,380161,1485,IFB INDUSTRIES,EQ,NSE,NSE
IFCI,IFCI,381697,1491,IFCI,EQ,NSE,NSE
IFGLEXPOR,IFGLEXPOR,111617,436,IFGL REFRACTORIES,EQ,NSE,NSE
IGARASHI,IGARASHI,162305,634,IGARASHI MOTORS INDIA,EQ,NSE,NSE
IGL,IGL,2883073,11262,INDRAPRASTHA GAS,EQ,NSE,NSE
IGPL,IGPL,3606017,14086,I G PETROCHEMICALS,EQ,NSE,NSE
IIFL,IIFL,3023105,11809,IIFL FINANCE,EQ,NSE,NSE
IIFLSEC,IIFLSEC,3346433,13072,IIFL SECURITIES,EQ,NSE,NSE
IIFLWAM,IIFLWAM,3343617,13061,IIFL WEALTH MGMT,EQ,NSE,NSE
IITL,IITL-BE,4999425,19529,INDUSTRIAL INV TRUST,EQ,NSE,NSE
IL&FSENGG,IL&FSENGG-BZ,2401281,9380,,EQ,NSE,NSE
IL&FSTRANS,IL&FSTRANS-BZ,2401537,9381,,EQ,NSE,NSE
IMAGICAA,IMAGICAA-BE,1965569,7678,IMAGICAAWORLD ENT,EQ,NSE,NSE
IMFA,IMFA-BE,4925185,19239,INDIAN METALS & FERRO,EQ,NSE,NSE
IMPAL,IMPAL,3074305,12009,IND MOTOR PART & ACC,EQ,NSE,NSE
INCREDIBLE,INCREDIBLE,4481793,17507,INCREDIBLE INDUSTRIES,EQ,NSE,NSE
INDBANK,INDBANK,4334849,16933,INDBANK MERCH BANK,EQ,NSE,NSE
INDHOTEL,INDHOTEL,387073,1512,THE INDIAN HOTELS CO.,EQ,NSE,NSE
INDIACEM,INDIACEM,387841,1515,THE INDIA CEMENTS,EQ,NSE,NSE
INDIAGLYCO,INDIAGLYCO,389377,1521,INDIA GLYCOLS,EQ,NSE,NSE
INDIAMART,INDIAMART,2745857,10726,INDIAMART INTERMESH,EQ,NSE,NSE
INDIANB,INDIANB,3663105,14309,INDIAN BANK,EQ,NSE,NSE
INDIANCARD,INDIANCARD,1132033,4422,INDIAN CARD CLOTHING CO.,EQ,NSE,NSE
INDIANHUME,INDIANHUME,391681,1530,INDIAN HUME PIPE CO..,EQ,NSE,NSE
INDIGO,INDIGO,2865921,11195,INTERGLOBE AVIATION,EQ,NSE,NSE
INDIGOPNTS,INDIGOPNTS,524289,2048,INDIGO PAINTS,EQ,NSE,NSE
INDLMETER,INDLMETER,1008129,3938,IMP POWERS,EQ,NSE,NSE
INDNIPPON,INDNIPPON,1215233,4747,INDIA NIPPON ELECT ,EQ,NSE,NSE
INDOCO,INDOCO,2989313,11677,INDOCO REMEDIES.,EQ,NSE,NSE
INDORAMA,INDORAMA,2814209,10993,INDO RAMA SYNTHETICS,EQ,NSE,NSE
INDOSOLAR,INDOSOLAR-BZ,2780417,10861,,EQ,NSE,NSE
INDOSTAR,INDOSTAR,790529,3088,INDOSTAR CAPITAL FIN,EQ,NSE,NSE
INDOTECH,INDOTECH,3398401,13275,INDO TECH TRANSFORM.,EQ,NSE,NSE
INDOTHAI,INDOTHAI,6555649,25608,INDO THAI SEC,EQ,NSE,NSE
INDOWIND,INDOWIND,3827713,14952,INDOWIND ENERGY,EQ,NSE,NSE
INDRAMEDCO,INDRAMEDCO,1216257,4751,INDRAPRASTHA MEDICAL CORP,EQ,NSE,NSE
INDSWFTLAB,INDSWFTLAB,1246721,4870,IND SWIFT LABORATORIES LT,EQ,NSE,NSE
INDSWFTLTD,INDSWFTLTD,2970113,11602,IND-SWIFT,EQ,NSE,NSE
INDTERRAIN,INDTERRAIN,5620993,21957,IND TERRAIN FASHIONS,EQ,NSE,NSE
INDUSINDBK,INDUSINDBK,1346049,5258,INDUSIND BANK,EQ,NSE,NSE
INDUSTOWER,INDUSTOWER,7458561,29135,INDUS TOWERS,EQ,NSE,NSE
INEOSSTYRO,INEOSSTYRO,4865,19,INEOS STYROLUTION IND,EQ,NSE,NSE
INFIBEAM,INFIBEAM,4159745,16249,INFIBEAM AVENUES,EQ,NSE,NSE
INFOBEAN,INFOBEAN,2822913,11027,INFOBEANS TECHNO..,EQ,NSE,NSE
INFOMEDIA,INFOMEDIA,3505409,13693,INFOMEDIA PRESS,EQ,NSE,NSE
INFY,INFY,408065,1594,INFOSYS,EQ,NSE,NSE
INGERRAND,INGERRAND,408833,1597,INGERSOLL-RAND INDIA,EQ,NSE,NSE
INOXLEISUR,INOXLEISUR,3384577,13221,INOX LEISURE,EQ,NSE,NSE
INOXWIND,INOXWIND,2010113,7852,INOX WIND,EQ,NSE,NSE
INSECTICID,INSECTICID,3752193,14657,INSECTICIDES (I),EQ,NSE,NSE
INSPIRISYS,INSPIRISYS,3514881,13730,INSPIRISYS SOLUTIONS,EQ,NSE,NSE
INTELLECT,INTELLECT,1517057,5926,INTELLECT DESIGN ARENA,EQ,NSE,NSE
INTENTECH,INTENTECH,5138177,20071,INTENSE TECHNOLOGIES,EQ,NSE,NSE
INTLCONV,INTLCONV,1435137,5606,INTL CONVEYORS,EQ,NSE,NSE
INVENTURE,INVENTURE,6366721,24870,INVENTURE GRO & SEC,EQ,NSE,NSE
IOB,IOB,2393089,9348,INDIAN OVERSEAS BANK,EQ,NSE,NSE
IOC,IOC,415745,1624,INDIAN OIL CORP,EQ,NSE,NSE
IOLCP,IOLCP,5225729,20413,IOL CHEM AND PHARMA,EQ,NSE,NSE
IPCALAB,IPCALAB,418049,1633,IPCA LABORATORIES,EQ,NSE,NSE
IPL,IPL,1263105,4934,INDIA PESTICIDES,EQ,NSE,NSE
IRB,IRB,3920129,15313,IRB INFRA DEV.,EQ,NSE,NSE
IRCON,IRCON,1276417,4986,IRCON INTERNATIONAL,EQ,NSE,NSE
IRCTC,IRCTC,3484417,13611,INDIAN RAIL TOUR CORP,EQ,NSE,NSE
IRFC,IRFC,519425,2029,INDIAN RAILWAY FIN CORP L,EQ,NSE,NSE
IRISDOREME,IRISDOREME,582401,2275,IRIS CLOTHINGS,EQ,NSE,NSE
ISEC,ISEC,637185,2489,ICICI SECURITIES,EQ,NSE,NSE
ISFT,ISFT,4730625,18479,INTRASOFT TECH.,EQ,NSE,NSE
ISGEC,ISGEC,852225,3329,ISGEC HEAVY ENG,EQ,NSE,NSE
ISMTLTD,ISMTLTD,3822593,14932,ISMT,EQ,NSE,NSE
ITC,ITC,424961,1660,ITC,EQ,NSE,NSE
ITDC,ITDC,4940545,19299,INDIA TOUR. DEV. CO..,EQ,NSE,NSE
ITDCEM,ITDCEM,1439233,5622,ITD CEMENTATION INDIA,EQ,NSE,NSE
ITI,ITI,428801,1675,ITI,EQ,NSE,NSE
IVC,IVC,1718017,6711,IL&FS INVESTMENT MANAGERS,EQ,NSE,NSE
IVP,IVP,430337,1681,IVP,EQ,NSE,NSE
IWEL,IWEL,966657,3776,INOX WIND ENERGY,EQ,NSE,NSE
IZMO,IZMO,3628545,14174,IZMO,EQ,NSE,NSE
J&KBANK,J&KBANK,1442049,5633,J & K BANK.,EQ,NSE,NSE
JAGRAN,JAGRAN,3382017,13211,JAGRAN PRAKASHAN,EQ,NSE,NSE
JAGSNPHARM,JAGSNPHARM,1128961,4410,JAGSONPAL PHARMACEUTICALS,EQ,NSE,NSE
JAIBALAJI,JAIBALAJI,2881537,11256,JAI BALAJI INDUSTRIES,EQ,NSE,NSE
JAICORPLTD,JAICORPLTD,1316609,5143,JAI CORP,EQ,NSE,NSE
JAINSTUDIO,JAINSTUDIO-BZ,2274305,8884,,EQ,NSE,NSE
JAIPURKURT,JAIPURKURT,1412097,5516,NANDANI CREATION,EQ,NSE,NSE
JAMNAAUTO,JAMNAAUTO,5319169,20778,JAMNA AUTO IND,EQ,NSE,NSE
JASH,JASH,3579393,13982,JASH ENGINEERING,EQ,NSE,NSE
JAYAGROGN,JAYAGROGN,1034497,4041,JAYANT AGRO ORGANICS,EQ,NSE,NSE
JAYBARMARU,JAYBARMARU,437249,1708,JAY BHARAT MARUTI,EQ,NSE,NSE
JAYNECOIND,JAYNECOIND-BE,2268417,8861,JAYASWAL NECO INDUSTR,EQ,NSE,NSE
JAYSREETEA,JAYSREETEA,440321,1720,JAYSHREE TEA & INDUSTRIES,EQ,NSE,NSE
JBCHEPHARM,JBCHEPHARM,441857,1726,J B CHEMICALS AND PHARMA,EQ,NSE,NSE
JBFIND,JBFIND,442625,1729,JBF INDUSTRIES,EQ,NSE,NSE
JBMA,JBMA,2983681,11655,JBM AUTO,EQ,NSE,NSE
JCHAC,JCHAC,1149697,4491,JOHNSON CONTROLS HITACHI,EQ,NSE,NSE
JETAIRWAYS,JETAIRWAYS-BZ,3435521,13420,,EQ,NSE,NSE
JHS,JHS,3512321,13720,JHS SVEND. LAB.,EQ,NSE,NSE
JIKIND,JIKIND-BE,4347649,16983,JIK INDUSTRIES,EQ,NSE,NSE
JINDALPHOT,JINDALPHOT,3006209,11743,JINDAL PHOTO,EQ,NSE,NSE
JINDALPOLY,JINDALPOLY,449537,1756,JINDAL POLY FILMS,EQ,NSE,NSE
JINDALSAW,JINDALSAW,774145,3024,JINDAL SAW,EQ,NSE,NSE
JINDALSTEL,JINDALSTEL,1723649,6733,JINDAL STEEL & POWER,EQ,NSE,NSE
JINDRILL,JINDRILL,3552001,13875,JINDAL DRILLING IND.,EQ,NSE,NSE
JINDWORLD,JINDWORLD,5284353,20642,JINDAL WORLDWIDE,EQ,NSE,NSE
JISLDVREQS,JISLDVREQS-BE,6576129,25688,JAIN DVR EQUITY SHARES,EQ,NSE,NSE
JISLJALEQS,JISLJALEQS,2661633,10397,JAIN IRRIGATION SYSTEMS,EQ,NSE,NSE
JITFINFRA,JITFINFRA-BE,5041921,19695,JITF INFRALOGISTICS,EQ,NSE,NSE
JKCEMENT,JKCEMENT,3397121,13270,JK CEMENT,EQ,NSE,NSE
JKIL,JKIL,3908097,15266,JKUMAR INFR.LTD.,EQ,NSE,NSE
JKLAKSHMI,JKLAKSHMI,3453697,13491,JK LAKSHMI CEMENT,EQ,NSE,NSE
JKPAPER,JKPAPER,3036161,11860,JK PAPER,EQ,NSE,NSE
JKTYRE,JKTYRE,3695361,14435,JK TYRE & INDUSTRIES,EQ,NSE,NSE
JMA,JMA,1819905,7109,JULLUNDUR MOT AGENCY,EQ,NSE,NSE
JMCPROJECT,JMCPROJECT,1134081,4430,JMC PROJECTS (I).,EQ,NSE,NSE
JMFINANCIL,JMFINANCIL,3491073,13637,JM FINANCIAL,EQ,NSE,NSE
JMTAUTOLTD,JMTAUTOLTD-BZ,1601793,6257,,EQ,NSE,NSE
JOCIL,JOCIL,4333313,16927,JOCIL,EQ,NSE,NSE
JPASSOCIAT,JPASSOCIAT,2933761,11460,JAIPRAKASH ASSOCIATES,EQ,NSE,NSE
JPINFRATEC,JPINFRATEC,4837121,18895,JAYPEE INFRATECH,EQ,NSE,NSE
JPOLYINVST,JPOLYINVST-BE,8066817,31511,JIND POL INV & FIN CO,EQ,NSE,NSE
JPPOWER,JPPOWER,3011329,11763,JAIPRAKASH POWER VEN.,EQ,NSE,NSE
JSL,JSL,2876417,11236,JINDAL STAINLESS,EQ,NSE,NSE
JSLHISAR,JSLHISAR,3149825,12304,JINDAL STAINLESS (H),EQ,NSE,NSE
JSWENERGY,JSWENERGY-BE,4575489,17873,JSW ENERGY,EQ,NSE,NSE
JSWHL,JSWHL,3041281,11880,JSW HOLDINGS,EQ,NSE,NSE
JSWISPL,JSWISPL,1195777,4671,JSW ISPAT SPE PRO,EQ,NSE,NSE
JSWSTEEL,JSWSTEEL,3001089,11723,JSW STEEL,EQ,NSE,NSE
JTEKTINDIA,JTEKTINDIA,828673,3237,JTEKT INDIA,EQ,NSE,NSE
JUBLFOOD,JUBLFOOD,4632577,18096,JUBILANT FOODWORKS,EQ,NSE,NSE
JUBLINDS,JUBLINDS,5514497,21541,JUBILANT INDUSTRIES,EQ,NSE,NSE
JUBLINGREA,JUBLINGREA,712449,2783,JUBILANT INGREVIA,EQ,NSE,NSE
JUBLPHARMA,JUBLPHARMA,931073,3637,JUBILANT PHARMOVA,EQ,NSE,NSE
JUMPNET,JUMPNET,3085313,12052,JUMP NETWORKS,EQ,NSE,NSE
JUSTDIAL,JUSTDIAL,7670273,29962,JUSTDIAL.,EQ,NSE,NSE
JYOTHYLAB,JYOTHYLAB,3877377,15146,JYOTHY LABS,EQ,NSE,NSE
JYOTISTRUC,JYOTISTRUC-BZ,617217,2411,,EQ,NSE,NSE
KABRAEXTRU,KABRAEXTRU,462081,1805,KABRA EXTRUSION TECHNIK L,EQ,NSE,NSE
KAJARIACER,KAJARIACER,462849,1808,KAJARIA CERAMICS,EQ,NSE,NSE
KAKATCEM,KAKATCEM,463617,1811,KAKATIYA CEM SUGAR &IND L,EQ,NSE,NSE
KALPATPOWR,KALPATPOWR,464385,1814,KALPATARU POWER TRANS. LT,EQ,NSE,NSE
KALYANI,KALYANI-BE,5031169,19653,KALYANI COMMERCIALS,EQ,NSE,NSE
KALYANIFRG,KALYANIFRG-BE,3880961,15160,KALYANI FORGE,EQ,NSE,NSE
KALYANKJIL,KALYANKJIL,756481,2955,KALYAN JEWELLERS IND,EQ,NSE,NSE
KAMATHOTEL,KAMATHOTEL,467457,1826,KAMAT HOTELS (I),EQ,NSE,NSE
KAMDHENU,KAMDHENU,3444993,13457,KAMDHENU,EQ,NSE,NSE
KANANIIND,KANANIIND,6601217,25786,KANANI INDUSTRIES,EQ,NSE,NSE
KANORICHEM,KANORICHEM,469761,1835,KANORIA CHEMICALS & INDUS,EQ,NSE,NSE
KANPRPLA,KANPRPLA,456193,1782,KANPUR PLASTIPACK,EQ,NSE,NSE
KANSAINER,KANSAINER,306177,1196,KANSAI NEROLAC PAINTS,EQ,NSE,NSE
KAPSTON,KAPSTON,4855553,18967,KAPSTON FACILITIES MGMT L,EQ,NSE,NSE
KARDA,KARDA,602625,2354,KARDA CONSTRUCTIONS,EQ,NSE,NSE
KARMAENG,KARMAENG,6242561,24385,KARMA ENERGY,EQ,NSE,NSE
KARURVYSYA,KARURVYSYA,470529,1838,KARUR VYSYA BANK,EQ,NSE,NSE
KAUSHALYA,KAUSHALYA,3874817,15136,KAUSHALYA INFRA DEV.,EQ,NSE,NSE
KAVVERITEL,KAVVERITEL-BE,3903489,15248,KAVVERI TEL..,EQ,NSE,NSE
KAYA,KAYA,2630657,10276,KAYA,EQ,NSE,NSE
KCP,KCP,471297,1841,KCP,EQ,NSE,NSE
KCPSUGIND,KCPSUGIND,1231105,4809,KCP SUGAR IND CORP.,EQ,NSE,NSE
KDDL,KDDL,3816449,14908,KDDL,EQ,NSE,NSE
KEC,KEC,3394561,13260,KEC INTL.,EQ,NSE,NSE
KECL,KECL-BE,4665345,18224,KIRLOSKAR ELECTRIC CO,EQ,NSE,NSE
KEERTI,KEERTI,289025,1129,KEERTI KNOW & SKILL.,EQ,NSE,NSE
KEI,KEI,3407361,13310,KEI INDUSTRIES.,EQ,NSE,NSE
KELLTONTEC,KELLTONTEC,3438081,13430,KELLTON TECH SOL,EQ,NSE,NSE
KENNAMET,KENNAMET,3031297,11841,KENNAMETAL INDIA,EQ,NSE,NSE
KERNEX,KERNEX-BE,3360001,13125,KERNEX MICROSYS(I),EQ,NSE,NSE
KESORAMIND,KESORAMIND,475905,1859,KESORAM INDUSTRIES,EQ,NSE,NSE
KEYFINSERV,KEYFINSERV,1064193,4157,KEYNOTE FIN SERV.,EQ,NSE,NSE
KHADIM,KHADIM,108801,425,KHADIM INDIA,EQ,NSE,NSE
KHAICHEM,KHAICHEM,229377,896,KHAITAN CHEM & FERT,EQ,NSE,NSE
KHAITANLTD,KHAITANLTD-BE,2452993,9582,KHAITAN (INDIA)LTD.,EQ,NSE,NSE
KHANDSE,KHANDSE,2468097,9641,KHANDWALA SECURITIES,EQ,NSE,NSE
KICL,KICL,5406465,21119,KALYANI INVEST CO,EQ,NSE,NSE
KILITCH,KILITCH,5103873,19937,KILITCH DRUGS INDIA,EQ,NSE,NSE
KIMS,KIMS,1240833,4847,KRISHNA INST OF MED SCI L,EQ,NSE,NSE
KINGFA,KINGFA,4849665,18944,KINGFA SCI & TEC IND.,EQ,NSE,NSE
KIOCL,KIOCL,4896257,19126,KIOCL,EQ,NSE,NSE
KIRIINDUS,KIRIINDUS,4259585,16639,KIRI INDUSTRIES,EQ,NSE,NSE
KIRLFER,KIRLFER,3703297,14466,KIRLOSKAR FERROUS IND,EQ,NSE,NSE
KIRLOSBROS,KIRLOSBROS,4756737,18581,KIRLOSKAR BROTHERS,EQ,NSE,NSE
KIRLOSENG,KIRLOSENG,5359617,20936,KIRLOSKAR OIL ENG,EQ,NSE,NSE
KIRLOSIND,KIRLOSIND,4870401,19025,KIRLOSKAR INDUSTRIES,EQ,NSE,NSE
KITEX,KITEX,7398145,28899,KITEX GARMENTS,EQ,NSE,NSE
KKCL,KKCL,3425537,13381,KEWAL KIRAN CLOTHING,EQ,NSE,NSE
KMSUGAR,KMSUGAR,3754753,14667,K M SUGAR MILLS,EQ,NSE,NSE
KNRCON,KNRCON,3912449,15283,KNR CONSTRU.,EQ,NSE,NSE
KOKUYOCMLN,KOKUYOCMLN,4307713,16827,KOKUYO CAMLIN,EQ,NSE,NSE
KOLTEPATIL,KOLTEPATIL,3871745,15124,KOLTE PATIL DEV..,EQ,NSE,NSE
KOPRAN,KOPRAN,491265,1919,KOPRAN,EQ,NSE,NSE
KOTAKBANK,KOTAKBANK,492033,1922,KOTAK MAHINDRA BANK,EQ,NSE,NSE
KOTARISUG,KOTARISUG,2981633,11647,KOTHARI SUG & CHEM.,EQ,NSE,NSE
KOTHARIPET,KOTHARIPET,1176065,4594,KOTHARI PETROCHEM,EQ,NSE,NSE
KOTHARIPRO,KOTHARIPRO,1415169,5528,KOTHARI PRODUCTS,EQ,NSE,NSE
KOVAI,KOVAI,1329153,5192,KOVAI MEDICAL CENTER & HO,EQ,NSE,NSE
KPIGLOBAL,KPIGLOBAL,1307649,5108,KPI GLOBAL INFRA,EQ,NSE,NSE
KPITTECH,KPITTECH,2478849,9683,KPIT TECHNOLOGIES,EQ,NSE,NSE
KPRMILL,KPRMILL,3817473,14912,KPR MILL.,EQ,NSE,NSE
KRBL,KRBL,2707713,10577,KRBL,EQ,NSE,NSE
KREBSBIO,KREBSBIO,495873,1937,KREBS BIOCHEMICALS & IND,EQ,NSE,NSE
KRIDHANINF,KRIDHANINF,2938881,11480,KRIDHAN INFRA,EQ,NSE,NSE
KRISHANA,KRISHANA,3288833,12847,KRISHANA PHOSCHEM,EQ,NSE,NSE
KRITI,KRITI,1642753,6417,KRITI INDUSTRIES IND,EQ,NSE,NSE
KRSNAA,KRSNAA,1371905,5359,KRSNAA DIAGNOSTICS,EQ,NSE,NSE
KSB,KSB,498945,1949,KSB,EQ,NSE,NSE
KSCL,KSCL,3832833,14972,KAVERI SEED CO..,EQ,NSE,NSE
KSL,KSL,4835585,18889,KALYANI STEELS,EQ,NSE,NSE
KTKBANK,KTKBANK,2061825,8054,KARNATAKA BANK,EQ,NSE,NSE
KUANTUM,KUANTUM,3550721,13870,KUANTUM PAPERS,EQ,NSE,NSE
L&TFH,L&TFH,6386689,24948,L&T FINANCE HOLDINGS,EQ,NSE,NSE
LAGNAM,LAGNAM,1501441,5865,LAGNAM SPINTEX,EQ,NSE,NSE
LAKPRE,LAKPRE-BZ,1222145,4774,,EQ,NSE,NSE
LALPATHLAB,LALPATHLAB,2983425,11654,DR. LAL PATH LABS.,EQ,NSE,NSE
LAMBODHARA,LAMBODHARA,1640193,6407,LAMBODHARA TEXTILES.,EQ,NSE,NSE
LAOPALA,LAOPALA,3692289,14423,LA OPALA RG,EQ,NSE,NSE
LASA,LASA,5558529,21713,LASA SUPERGENERICS,EQ,NSE,NSE
LAURUSLABS,LAURUSLABS,4923905,19234,LAURUS LABS,EQ,NSE,NSE
LAXMIMACH,LAXMIMACH,506625,1979,LAKSHMI MACHINES,EQ,NSE,NSE
LCCINFOTEC,LCCINFOTEC,1927425,7529,LCC INFOTECH,EQ,NSE,NSE
LEMONTREE,LEMONTREE,667137,2606,LEMON TREE HOTELS,EQ,NSE,NSE
LFIC,LFIC,2022913,7902,LAKSHMI FIN IND CORP,EQ,NSE,NSE
LGBBROSLTD,LGBBROSLTD,4690177,18321,LG BALAKRISHNAN & BROS,EQ,NSE,NSE
LGBFORGE,LGBFORGE,4312321,16845,LGB FORGE,EQ,NSE,NSE
LIBAS,LIBAS,2836993,11082,LIBAS CONSU PRODUCTS,EQ,NSE,NSE
LIBERTSHOE,LIBERTSHOE,510465,1994,LIBERTY SHOES,EQ,NSE,NSE
LICHSGFIN,LICHSGFIN,511233,1997,LIC HOUSING FINANCE,EQ,NSE,NSE
LIKHITHA,LIKHITHA,147969,578,LIKHITHA INFRASTRUC,EQ,NSE,NSE
LINCOLN,LINCOLN,2968577,11596,LINCOLN PHARMA,EQ,NSE,NSE
LINCPEN,LINCPEN,1779457,6951,LINC PEN & PLASTICS,EQ,NSE,NSE
LINDEINDIA,LINDEINDIA,416513,1627,LINDE INDIA,EQ,NSE,NSE
