NseSymbol,Symbol,InstrumentToken,ExchangeToken,Name,InstrumentType,Segment,Exchange
ASHOKLEY,ASHOKLEY,54273,212,ASHOK LEYLAND,EQ,NSE,NSE
ASIANHOTNR,ASIANHOTNR,4716033,18422,ASIAN HOTELS (NORTH),EQ,NSE,NSE
ASIANPAINT,ASIANPAINT,60417,236,ASIAN PAINTS,EQ,NSE,NSE
ASIANTILES,ASIANTILES,3811585,14889,ASIAN GRANITO IND..,EQ,NSE,NSE
ASPINWALL,ASPINWALL,4421121,17270,ASPINWALL & CO,EQ,NSE,NSE
ASTEC,ASTEC,4538369,17728,ASTEC LIFESCIENCES,EQ,NSE,NSE
ASTERDM,ASTERDM,386049,1508,ASTER DM HEALTHCARE.,EQ,NSE,NSE
ASTRAL,ASTRAL,3691009,14418,ASTRAL,EQ,NSE,NSE
ASTRAMICRO,ASTRAMICRO,2974209,11618,ASTRA MICROWAVE,EQ,NSE,NSE
ASTRAZEN,ASTRAZEN,1436161,5610,ASTRAZENECA PHARMA IND LT,EQ,NSE,NSE
ASTRON,ASTRON,223745,874,ASTRON PAPER BORD MIL,EQ,NSE,NSE
ATFL,ATFL,425729,1663,AGRO TECH FOODS,EQ,NSE,NSE
ATGL,ATGL-BE,1554945,6074,ADANI TOTAL GAS,EQ,NSE,NSE
ATLANTA,ATLANTA,3477761,13585,ATLANTA,EQ,NSE,NSE
ATUL,ATUL,67329,263,ATUL,EQ,NSE,NSE
ATULAUTO,ATULAUTO,7685889,30023,ATUL AUTO,EQ,NSE,NSE
AUBANK,AUBANK,5436929,21238,AU SMALL FINANCE BANK,EQ,NSE,NSE
AURIONPRO,AURIONPRO,3077633,12022,AURIONPRO SOLN,EQ,NSE,NSE
AUROPHARMA,AUROPHARMA,70401,275,AUROBINDO PHARMA,EQ,NSE,NSE
AURUM,AURUM,2639361,10310,AURUM PROPTECH,EQ,NSE,NSE
AUSOMENT,AUSOMENT,1033473,4037,AUSOM ENTERPRISE,EQ,NSE,NSE
AUTOAXLES,AUTOAXLES,71169,278,AUTOMOTIVE AXLES,EQ,NSE,NSE
AUTOIND,AUTOIND,3611137,14106,AUTOLINE INDUSTRIES,EQ,NSE,NSE
AVADHSUGAR,AVADHSUGAR,5479937,21406,AVADH SUG & ENERGY,EQ,NSE,NSE
AVANTIFEED,AVANTIFEED,2031617,7936,AVANTI FEEDS,EQ,NSE,NSE
AVTNPL,AVTNPL,3586049,14008,AVT NATURAL PRODUCTS,EQ,NSE,NSE
AWHCL,AWHCL,460033,1797,ANTONY WASTE HDG CELL,EQ,NSE,NSE
AXISBANK,AXISBANK,1510401,5900,AXIS BANK,EQ,NSE,NSE
AXISCADES,AXISCADES,2415617,9436,AXISCADES TECH,EQ,NSE,NSE
AYMSYNTEX,AYMSYNTEX,2632961,10285,AYM SYNTEX,EQ,NSE,NSE
BAFNAPH,BAFNAPH,4541953,17742,BAFNA PHARMACEUTICALS,EQ,NSE,NSE
BAGFILMS,BAGFILMS-BE,3603201,14075,B.A.G FILMS AND MEDIA,EQ,NSE,NSE
BAJAJ-AUTO,BAJAJ-AUTO,4267265,16669,BAJAJ AUTO,EQ,NSE,NSE
BAJAJCON,BAJAJCON,4999937,19531,BAJAJ CONSUMER CARE,EQ,NSE,NSE
BAJAJELEC,BAJAJELEC,3848705,15034,BAJAJ ELECT.LTD,EQ,NSE,NSE
BAJAJFINSV,BAJAJFINSV,4268801,16675,BAJAJ FINSERV.,EQ,NSE,NSE
BAJAJHIND,BAJAJHIND,78849,308,BAJAJ HINDUSTHAN SUGAR LT,EQ,NSE,NSE
BAJAJHLDNG,BAJAJHLDNG,78081,305,BAJAJ HOLDINGS & INVS,EQ,NSE,NSE
BAJFINANCE,BAJFINANCE,81153,317,BAJAJ FINANCE,EQ,NSE,NSE
BALAJITELE,BALAJITELE,2344449,9158,BALAJI TELEFILMS,EQ,NSE,NSE
BALAMINES,BALAMINES,3712257,14501,BALAJI AMINES,EQ,NSE,NSE
BALAXI,BALAXI,2895105,11309,BALAXI PHARMA,EQ,NSE,NSE
BALKRISHNA,BALKRISHNA,2606337,10181,BALKRISHNA PAPER MILLS L,EQ,NSE,NSE
BALKRISIND,BALKRISIND,85761,335,BALKRISHNA IND.,EQ,NSE,NSE
BALLARPUR,BALLARPUR-BZ,332545,1299,,EQ,NSE,NSE
BALMLAWRIE,BALMLAWRIE,86529,338,BALMER LAWRIE & CO,EQ,NSE,NSE
BALPHARMA,BALPHARMA,3440897,13441,BAL PHARMA.,EQ,NSE,NSE
BALRAMCHIN,BALRAMCHIN,87297,341,BALRAMPUR CHINI MILLS,EQ,NSE,NSE
BANARBEADS,BANARBEADS,88833,347,BANARAS BEADS,EQ,NSE,NSE
BANARISUG,BANARISUG,89601,350,BANNARI AMMAN SUGARS,EQ,NSE,NSE
BANCOINDIA,BANCOINDIA,3553281,13880,BANCO PRODUCTS (I),EQ,NSE,NSE
BANDHANBNK,BANDHANBNK,579329,2263,BANDHAN BANK,EQ,NSE,NSE
BANG,BANG,3917569,15303,BANG OVERSEAS.,EQ,NSE,NSE
BANKA,BANKA,210433,822,BANKA BIOLOO,EQ,NSE,NSE
BANKBARODA,BANKBARODA,1195009,4668,BANK OF BARODA,EQ,NSE,NSE
BANKINDIA,BANKINDIA,1214721,4745,BANK OF INDIA,EQ,NSE,NSE
